SL,State,POCSO_Total_I,POCSO_Total_V,POCSO_Total_R,Sec4_6_Total_I,Sec4_6_Total_V,Sec4_6_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,466,468,3.1,289,291,1.9,289,291,1.9,0,0,0.0
2,Arunachal Pradesh,23,23,3.9,16,16,2.7,16,16,2.7,0,0,0.0
3,Assam,1926,1949,15.9,1311,1318,10.9,1310,1317,10.8,1,1,0.0
4,Bihar,1571,1571,3.3,654,654,1.4,654,654,1.4,0,0,0.0
5,Chhattisgarh,2332,2361,23.9,1808,1808,18.5,1808,1808,18.5,0,0,0.0
6,Goa,2,2,0.5,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,2443,2453,11.7,2061,2070,9.9,2060,2069,9.8,1,1,0.0
8,Haryana,2249,2268,24.7,1293,1296,14.2,1234,1235,13.5,59,61,0.6
9,Himachal Pradesh,13,13,0.6,0,0,0.0,0,0,0.0,0,0,0.0
10,Jharkhand,806,806,5.8,571,571,4.1,569,569,4.1,2,2,0.0
11,Karnataka,2813,2848,14.5,2094,2097,10.8,2090,2093,10.8,4,4,0.0
12,Kerala,2647,2681,28.1,1642,1658,17.5,1568,1584,16.7,74,74,0.8
13,Madhya Pradesh,6070,6085,21.1,3515,3525,12.2,3512,3522,12.2,3,3,0.0
14,Maharashtra,6200,6314,17.2,3458,3480,9.6,3458,3480,9.6,0,0,0.0
15,Manipur,97,101,9.4,76,80,7.4,75,79,7.3,1,1,0.1
16,Meghalaya,384,389,27.8,290,293,21.0,290,293,21.0,0,0,0.0
17,Mizoram,104,105,24.6,67,67,15.9,65,65,15.4,2,2,0.5
18,Nagaland,31,33,3.8,25,25,3.0,25,25,3.0,0,0,0.0
19,Odisha,2498,2498,17.3,1871,1871,13.0,1871,1871,13.0,0,0,0.0
20,Punjab,751,753,8.6,599,601,6.9,599,601,6.9,0,0,0.0
21,Rajasthan,601,601,2.1,1,1,0.0,0,0,0.0,1,1,0.0
22,Sikkim,100,104,48.6,76,78,36.9,75,77,36.4,1,1,0.5
23,Tamil Nadu,4465,4562,21.6,3433,3469,16.6,3401,3435,16.5,32,34,0.2
24,Telangana,2698,2723,23.7,1818,1836,16.0,1817,1835,16.0,1,1,0.0
25,Tripura,125,127,10.2,91,93,7.4,91,93,7.4,0,0,0.0
26,Uttar Pradesh,7129,7160,8.4,2843,2845,3.3,2747,2749,3.2,96,96,0.1
27,Uttarakhand,712,712,18.7,601,601,15.8,593,593,15.6,8,8,0.2
28,West Bengal,2607,2631,8.7,1596,1607,5.3,1575,1585,5.3,21,22,0.1
29,A&N Islands,108,110,96.2,90,92,80.1,90,92,80.1,0,0,0.0
30,Chandigarh,1,1,0.3,0,0,0.0,0,0,0.0,0,0,0.0
31,D&N Haveli and Daman & Diu,53,53,27.6,47,47,24.5,47,47,24.5,0,0,0.0
32,Delhi,1454,1457,26.3,845,845,15.3,841,841,15.2,4,4,0.1
33,Jammu & Kashmir,294,295,6.0,209,209,4.3,209,209,4.3,0,0,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,14,14,70.3,2,2,10.0,2,2,10.0,0,0,0.0
36,Puducherry,87,88,24.3,56,57,15.6,55,56,15.4,1,1,0.3
