SL,State,Sec8_10_Total_I,Sec8_10_Total_V,Sec8_10_Total_R,Girls_I,Girls_V,Girls_R,Boys_I,Boys_V,Boys_R
1,Andhra Pradesh,82,82,0.5,82,82,0.5,0,0,0.0
2,Arunachal Pradesh,4,4,0.7,4,4,0.7,0,0,0.0
3,Assam,422,424,3.5,422,424,3.5,0,0,0.0
4,Bihar,738,738,1.6,738,738,1.6,0,0,0.0
5,Chhattisgarh,456,484,4.7,456,484,4.7,0,0,0.0
6,Goa,1,1,0.3,0,0,0.0,1,1,0.3
7,Gujarat,241,242,1.2,239,240,1.1,2,2,0.0
8,Haryana,663,675,7.3,654,666,7.2,9,9,0.1
9,Himachal Pradesh,8,8,0.4,8,8,0.4,0,0,0.0
10,Jharkhand,117,117,0.8,117,117,0.8,0,0,0.0
11,Karnataka,435,463,2.2,427,443,2.2,8,20,0.0
12,Kerala,726,739,7.7,611,619,6.5,115,120,1.2
13,Madhya Pradesh,2381,2386,8.3,2381,2386,8.3,0,0,0.0
14,Maharashtra,2378,2455,6.6,2377,2454,6.6,1,1,0.0
15,Manipur,16,16,1.5,16,16,1.5,0,0,0.0
16,Meghalaya,78,79,5.7,78,79,5.7,0,0,0.0
17,Mizoram,34,35,8.1,34,35,8.1,0,0,0.0
18,Nagaland,6,8,0.7,6,8,0.7,0,0,0.0
19,Odisha,585,585,4.1,585,585,4.1,0,0,0.0
20,Punjab,121,121,1.4,121,121,1.4,0,0,0.0
21,Rajasthan,0,0,0.0,0,0,0.0,0,0,0.0
22,Sikkim,21,23,10.2,21,23,10.2,0,0,0.0
23,Tamil Nadu,733,758,3.5,722,744,3.5,11,14,0.1
24,Telangana,810,817,7.1,810,817,7.1,0,0,0.0
25,Tripura,32,32,2.6,32,32,2.6,0,0,0.0
26,Uttar Pradesh,4066,4093,4.8,4063,4090,4.8,3,3,0.0
27,Uttarakhand,87,87,2.3,87,87,2.3,0,0,0.0
28,West Bengal,732,735,2.4,725,728,2.4,7,7,0.0
29,A&N Islands,14,14,12.5,13,13,11.6,1,1,0.9
30,Chandigarh,1,1,0.3,1,1,0.3,0,0,0.0
31,D&N Haveli and Daman & Diu,3,3,1.6,3,3,1.6,0,0,0.0
32,Delhi,501,502,9.0,497,498,9.0,4,4,0.1
33,Jammu & Kashmir,51,52,1.0,50,51,1.0,1,1,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,11,11,55.3,2,2,10.0,9,9,45.2
36,Puducherry,21,21,5.9,19,19,5.3,2,2,0.6
