SL,State,Miscarriage_I,Miscarriage_V,Miscarriage_R,Acid_Attack_I,Acid_Attack_V,Acid_Attack_R,Attempt_Acid_I,Attempt_Acid_V,Attempt_Acid_R,Cruelty_I,Cruelty_V,Cruelty_R
1,Andhra Pradesh,10,10,0.0,3,3,0.0,4,4,0.0,10594,10640,39.8
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,58,58,7.6
3,Assam,4,4,0.0,4,4,0.0,2,2,0.0,2923,2964,16.6
4,Bihar,0,0,0.0,5,6,0.0,0,0,0.0,2032,2032,3.3
5,Chhattisgarh,5,5,0.0,1,6,0.0,0,0,0.0,755,757,5.0
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,5,5,0.0,2,2,0.0,1,1,0.0,2176,2191,6.4
8,Haryana,50,50,0.4,3,3,0.0,1,1,0.0,5191,5197,36.3
9,Himachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,217,217,5.9
10,Jharkhand,3,3,0.0,1,1,0.0,0,0,0.0,770,813,4.0
11,Karnataka,11,13,0.0,0,0,0.0,4,4,0.0,3000,3141,9.0
12,Kerala,1,1,0.0,5,5,0.0,4,5,0.0,4710,4832,25.3
13,Madhya Pradesh,24,24,0.1,3,3,0.0,2,2,0.0,7577,7597,18.0
14,Maharashtra,42,44,0.1,3,3,0.0,5,5,0.0,11226,11253,18.5
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0,7,7,0.4
16,Meghalaya,1,1,0.1,1,1,0.1,0,0,0.0,14,14,0.8
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,5,5,0.8
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.2
19,Odisha,0,0,0.0,5,5,0.0,2,2,0.0,5534,5534,24.0
20,Punjab,7,7,0.0,3,3,0.0,0,0,0.0,1532,1532,10.5
21,Rajasthan,4,4,0.0,4,4,0.0,1,1,0.0,18033,18098,45.5
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.3
23,Tamil Nadu,2,2,0.0,3,3,0.0,0,0,0.0,1017,1073,2.6
24,Telangana,0,0,0.0,1,1,0.0,1,1,0.0,10518,10518,55.5
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0,319,319,15.6
26,Uttar Pradesh,106,106,0.1,28,28,0.0,4,4,0.0,19889,20231,17.5
27,Uttarakhand,4,4,0.1,1,1,0.0,2,2,0.0,1016,1022,17.9
28,West Bengal,16,16,0.0,31,34,0.1,6,6,0.0,19698,20462,40.5
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0,6,6,3.1
30,Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0,76,76,13.4
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.5
32,Delhi,10,10,0.1,6,6,0.1,2,2,0.0,4236,4239,42.1
33,Jammu & Kashmir,4,4,0.1,0,0,0.0,0,0,0.0,524,524,8.1
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,6,6,4.5
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,3,3,9.1
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,9,9,1.0
