SL,State,Assault_Total_I,Assault_Total_V,Assault_Total_R,Assault_18_I,Assault_18_V,Assault_18_R,Assault_Below18_I,Assault_Below18_V,Assault_Below18_R
1,Andhra Pradesh,4930,4943,18.5,4930,4943,18.5,0,0,0.0
2,Arunachal Pradesh,74,74,9.7,69,69,9.1,5,5,0.7
3,Assam,1595,1619,9.1,1582,1606,9.0,13,13,0.1
4,Bihar,472,472,0.8,465,465,0.8,7,7,0.0
5,Chhattisgarh,1034,1037,6.8,1032,1035,6.8,2,2,0.0
6,Goa,96,107,12.3,75,78,9.6,21,29,2.7
7,Gujarat,688,698,2.0,622,627,1.8,66,71,0.2
8,Haryana,2265,2281,15.9,2239,2252,15.7,26,29,0.2
9,Himachal Pradesh,504,506,13.7,448,450,12.2,56,56,1.5
10,Jharkhand,944,977,4.9,942,974,4.9,2,3,0.0
11,Karnataka,6790,8284,20.3,6789,8283,20.3,1,1,0.0
12,Kerala,4816,4885,25.9,4586,4650,24.6,230,235,1.2
13,Madhya Pradesh,5078,5079,12.1,5077,5078,12.1,1,1,0.0
14,Maharashtra,12133,12162,20.0,12133,12162,20.0,0,0,0.0
15,Manipur,66,66,4.1,65,65,4.0,1,1,0.1
16,Meghalaya,51,52,3.0,49,50,2.9,2,2,0.1
17,Mizoram,28,28,4.6,26,26,4.2,2,2,0.3
18,Nagaland,14,14,1.3,12,12,1.1,2,2,0.2
19,Odisha,9367,9367,40.6,9365,9365,40.6,2,2,0.0
20,Punjab,656,658,4.5,618,620,4.2,38,38,0.3
21,Rajasthan,9456,9499,23.9,9456,9499,23.9,0,0,0.0
22,Sikkim,16,16,4.9,16,16,4.9,0,0,0.0
23,Tamil Nadu,1650,1670,4.3,1641,1661,4.3,9,9,0.0
24,Telangana,5024,5403,26.5,5009,5388,26.4,15,15,0.1
25,Tripura,110,119,5.4,109,118,5.3,1,1,0.0
26,Uttar Pradesh,9453,9549,8.3,8656,8747,7.6,797,802,0.7
27,Uttarakhand,624,624,11.0,590,590,10.4,34,34,0.6
28,West Bengal,2479,2487,5.1,2479,2487,5.1,0,0,0.0
29,A&N Islands,31,31,16.2,31,31,16.2,0,0,0.0
30,Chandigarh,40,42,7.0,27,28,4.7,13,14,2.3
31,D&N Haveli and Daman & Diu,12,12,2.7,12,12,2.7,0,0,0.0
32,Delhi,1814,1828,18.0,1814,1828,18.0,0,0,0.0
33,Jammu & Kashmir,1542,1545,23.7,1541,1544,23.7,1,1,0.0
34,Ladakh,2,2,1.5,2,2,1.5,0,0,0.0
35,Lakshadweep,7,7,21.2,7,7,21.2,0,0,0.0
36,Puducherry,30,30,3.4,30,30,3.4,0,0,0.0
