State,Spatial_Spillover_Index
A&N Islands,0.49242860078811646
Andhra Pradesh,0.4951842725276947
Arunachal Pradesh,0.49285754561424255
Assam,0.4927588403224945
Bihar,0.4854342043399811
Chandigarh,0.4939645528793335
Chhattisgarh,0.4935525059700012
D&N Haveli and Daman & Diu,0.49479493498802185
Delhi,0.4785515069961548
Goa,0.4929368495941162
Gujarat,0.4940987527370453
Haryana,0.500948965549469
Himachal Pradesh,0.49345454573631287
Jammu & Kashmir,0.49565446376800537
Jharkhand,0.4933710992336273
Karnataka,0.5057530999183655
Kerala,0.4904552400112152
Ladakh,0.4946539103984833
Lakshadweep,0.4974358081817627
Madhya Pradesh,0.49483299255371094
Maharashtra,0.5185003876686096
Manipur,0.4965124726295471
Meghalaya,0.49605104327201843
Mizoram,0.49493908882141113
Nagaland,0.4936925172805786
Odisha,0.49111759662628174
Puducherry,0.4963889420032501
Punjab,0.4900936782360077
Rajasthan,0.49649402499198914
Sikkim,0.48912596702575684
Tamil Nadu,0.4997507333755493
Telangana,0.5058196187019348
Tripura,0.49245843291282654
Uttar Pradesh,0.49663618206977844
Uttarakhand,0.5013552308082581
West Bengal,0.496193528175354
