SL,State,Other_SLL_I,Other_SLL_V,Other_SLL_R,Total_SLL_I,Total_SLL_V,Total_SLL_R,Total_All_I,Total_All_V,Total_All_R
1,Andhra Pradesh,10,11,0.1,563,587,3.7,2669,2810,17.7
2,Arunachal Pradesh,0,0,0.0,24,24,4.1,162,163,27.5
3,Assam,1,1,0.0,2361,2436,19.5,5282,5537,43.7
4,Bihar,25,25,0.1,1637,1671,3.4,6894,7250,14.5
5,Chhattisgarh,8,9,0.1,2415,2445,24.8,6001,6190,61.6
6,Goa,4,4,1.0,9,9,2.4,151,159,39.5
7,Gujarat,3,4,0.0,2601,2661,12.4,4515,4664,21.6
8,Haryana,3,3,0.0,2378,2406,26.1,5700,6000,62.5
9,Himachal Pradesh,0,0,0.0,30,30,1.4,740,755,34.4
10,Jharkhand,0,0,0.0,831,832,6.0,1867,1926,13.5
11,Karnataka,5,5,0.0,3393,3513,17.5,7261,7989,37.5
12,Kerala,8,9,0.1,3105,3168,33.0,4536,5293,48.2
13,Madhya Pradesh,2,2,0.0,6124,6139,21.3,19173,20191,66.7
14,Maharashtra,5,10,0.0,6460,6609,17.9,17261,17819,47.8
15,Manipur,0,0,0.0,103,107,10.0,143,149,13.8
16,Meghalaya,0,0,0.0,389,394,28.2,481,494,34.9
17,Mizoram,0,0,0.0,107,108,25.3,122,127,28.9
18,Nagaland,0,0,0.0,33,35,4.0,51,54,6.2
19,Odisha,0,0,0.0,2654,2657,18.4,7899,7912,54.8
20,Punjab,2,2,0.0,837,842,9.6,2556,2612,29.2
21,Rajasthan,1,2,0.0,1159,1501,4.1,7653,8067,27.2
22,Sikkim,0,0,0.0,100,104,48.6,149,161,72.4
23,Tamil Nadu,118,130,0.6,4894,5036,23.7,6064,6424,29.3
24,Telangana,1,1,0.0,3375,3621,29.7,5667,6041,49.8
25,Tripura,0,0,0.0,126,128,10.3,236,239,19.2
26,Uttar Pradesh,0,0,0.0,7220,7267,8.5,16838,17341,19.7
27,Uttarakhand,0,0,0.0,771,784,20.3,1245,1270,32.8
28,West Bengal,0,0,0.0,2755,2799,9.2,9523,9636,31.7
29,A&N Islands,0,0,0.0,111,113,98.8,124,127,110.4
30,Chandigarh,0,0,0.0,8,41,2.5,234,272,72.2
31,D&N Haveli and Daman & Diu,0,0,0.0,54,54,28.1,104,104,54.1
32,Delhi,8,29,0.1,1692,1816,30.6,7118,7925,128.5
33,Jammu & Kashmir,2,2,0.0,304,305,6.2,845,884,17.2
34,Ladakh,0,0,0.0,0,0,0.0,1,1,1.2
35,Lakshadweep,0,0,0.0,14,14,70.3,17,17,85.4
36,Puducherry,0,0,0.0,88,89,24.6,122,124,34.0
