SL,State,Other_SLL_I,Other_SLL_V,Other_SLL_R,Total_SLL_I,Total_SLL_V,Total_SLL_R,Total_All_I,Total_All_V,Total_All_R
1,Andhra Pradesh,3,3,0,532,539,3.4,2524,2708,16.1
2,Arunachal Pradesh,0,0,0,37,39,7.9,153,176,32.7
3,Assam,0,0,0,2036,2082,17.1,6608,7058,55.6
4,Bihar,0,0,0,1586,1737,3.5,9320,9818,20.8
5,Chhattisgarh,1,6,0,2047,2073,20.4,5665,5946,56.4
6,Goa,15,29,2.9,15,29,2.9,167,190,32.1
7,Gujarat,1,2,0,2491,2552,12,4685,4876,22.7
8,Haryana,6,6,0.1,2194,2238,23.6,5119,5558,55.2
9,Himachal Pradesh,4,4,0.2,43,43,2,748,787,34.6
10,Jammu & Kashmir,0,0,0,112,112,2.5,470,495,10.5
11,Jharkhand,1,1,0,692,693,5.3,1674,1688,12.7
12,Karnataka,3,42,0,2414,2552,12.3,6305,6914,32.2
13,Kerala,0,0,0,1655,1700,17.7,4754,4909,50.9
14,Madhya Pradesh,0,0,0,6161,6178,20.5,19028,20194,63.3
15,Maharashtra,7,8,0,6724,6999,17.8,19592,20470,51.8
16,Manipur,0,0,0,61,61,6.3,148,152,15.4
17,Meghalaya,32,32,3.2,260,276,25.9,379,399,37.8
18,Mizoram,0,0,0,85,89,22.9,125,163,33.7
19,Nagaland,0,0,0,12,14,1.8,59,70,8.8
20,Odisha,0,0,0,2131,2221,15.2,7012,7123,49.9
21,Punjab,7,8,0.1,439,443,5,2625,2733,29.9
22,Rajasthan,0,0,0,1264,1667,4.4,7385,7896,25.9
23,Sikkim,1,1,0.5,93,95,45.8,163,176,80.3
24,Tamil Nadu,29,96,0.1,2503,2631,12.4,4139,4498,20.5
25,Telangana,0,0,0,2560,2787,22.9,4212,4553,37.7
26,Tripura,1,1,0.1,177,179,14.3,311,316,25.1
27,Uttar Pradesh,0,0,0,7677,7806,8.7,18943,19962,21.4
28,Uttarakhand,0,0,0,402,406,10.4,1214,1344,31.5
29,West Bengal,5,5,0,2385,2396,8.1,6286,6386,21.4
30,A&N Islands,0,0,0,96,96,70.6,153,160,112.5
31,Chandigarh,0,0,0,13,13,3.3,264,293,66
32,D&N Haveli,0,0,0,43,43,33.9,53,53,41.7
33,Daman & Diu,0,0,0,17,22,18.7,43,51,47.3
34,Delhi,0,0,0,1868,2057,33.4,7783,8489,139
35,Lakshadweep,0,0,0,25,25,138.9,26,26,144.4
36,Puducherry,0,0,0,50,50,10.8,50,50,10.8
