State,Year,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
Delhi,2024,-17.50245,14.362544,12.227666,-8.395873,13.977816,14.837924,6.806772,-14.26649,-11.119184,-17.240675,-7.6928396,14.365166,8.643234,-16.800161,10.285822,17.06824
Delhi,2025,-17.35591,14.238056,12.122773,-8.326166,13.866568,14.720781,6.7430468,-14.152792,-11.019062,-17.092121,-7.6311665,14.253032,8.568168,-16.657902,10.198459,16.921478
Delhi,2026,-16.988834,13.912874,11.839952,-8.100119,13.594362,14.414008,6.533524,-13.876204,-10.772861,-16.640413,-7.4896154,13.990155,8.338635,-16.309958,9.943126,16.55197
Delhi,2027,-17.162731,14.066556,11.972945,-8.202706,13.724454,14.556699,6.629577,-14.007552,-10.889731,-16.848116,-7.555948,14.115411,8.443173,-16.476198,10.060209,16.726744
Delhi,2028,-17.426214,14.297218,12.170829,-8.355034,13.922501,14.775333,6.7674265,-14.208637,-11.066444,-17.153639,-7.6609273,14.309858,8.598417,-16.7281,10.235141,16.991446
Delhi,2029,-17.469595,14.333999,12.203482,-8.382019,13.954995,14.813644,6.7907825,-14.242084,-11.094209,-17.20629,-7.678624,14.342004,8.625841,-16.767988,10.265559,17.033848
Delhi,2030,-17.31759,14.201376,12.090075,-8.296475,13.84142,14.689011,6.712531,-14.126422,-10.991756,-17.032955,-7.6181574,14.230079,8.537971,-16.622772,10.166029,16.881172
Goa,2024,-5.7004824,4.444376,4.4463396,-4.1346292,4.1249266,5.067692,2.8072035,-4.4841805,-3.5104177,-6.631211,-2.6140566,4.429933,3.2748654,-5.622485,3.6728187,5.971529
Goa,2025,-5.774581,4.5169315,4.5666738,-4.41062,4.1111174,5.151869,2.979366,-4.502214,-3.5629163,-6.930541,-2.626103,4.4188647,3.4244072,-5.7101274,3.7881026,6.097839
Goa,2026,-5.389636,4.25461,4.328554,-4.319724,3.7885907,4.825539,2.9308975,-4.18424,-3.3363826,-6.718612,-2.4426174,4.0847216,3.301232,-5.3446803,3.6253166,5.759866
Goa,2027,-5.538705,4.3635902,4.4334316,-4.3936105,3.9036803,4.9556613,2.977649,-4.3035665,-3.4257495,-6.846808,-2.509982,4.2042303,3.3712113,-5.4879985,3.7037055,5.9006586
Goa,2028,-5.847884,4.571459,4.6199384,-4.4510317,4.1652503,5.215056,3.0070841,-4.5614386,-3.6069071,-7.000824,-2.658484,4.47649,3.4622707,-5.78024,3.828452,6.168002
Goa,2029,-5.9766726,4.660618,4.6976337,-4.4783936,4.27459,5.3233643,3.0228736,-4.667893,-3.6843395,-7.07129,-2.7204614,4.5896397,3.5022874,-5.902106,3.8842554,6.2815223
Goa,2030,-5.972923,4.6862264,4.7478185,-4.649887,4.22768,5.33381,3.142149,-4.6366496,-3.689947,-7.2591796,-2.6979275,4.536343,3.59132,-5.9097934,3.9465923,6.3200636
Gujarat,2024,-9.606755,8.306719,7.282256,-6.2358117,7.3036275,8.357895,5.1674256,-7.641295,-6.2265306,-11.643004,-3.9810333,7.4608035,5.821583,-9.2111025,6.649305,9.954092
Gujarat,2025,-9.169616,7.911066,6.963733,-5.9905114,6.9475684,7.9808855,4.9453163,-7.2876573,-5.9393764,-11.135615,-3.8106487,7.1164827,5.564264,-8.791397,6.350338,9.513747
Gujarat,2026,-8.749346,7.516511,6.678456,-5.830778,6.5739903,7.624146,4.7649746,-6.9305882,-5.661648,-10.695364,-3.6449358,6.762141,5.3449264,-8.389921,6.0715466,9.102318
Gujarat,2027,-8.614368,7.396907,6.581961,-5.75988,6.466522,7.5091624,4.6989465,-6.8221574,-5.57281,-10.544586,-3.5922625,6.65553,5.2679105,-8.262801,5.9810286,8.968159
Gujarat,2028,-8.500531,7.2995954,6.4937105,-5.676208,6.385007,7.4099545,4.6324115,-6.7360764,-5.4986453,-10.401222,-3.5487552,6.5731945,5.1938725,-8.154611,5.901168,8.850984
Gujarat,2029,-8.425729,7.2355175,6.435782,-5.621425,6.3313456,7.344737,4.588696,-6.679403,-5.44978,-10.306952,-3.5201702,6.519091,5.145241,-8.083475,5.848603,8.773959
Gujarat,2030,-8.403928,7.215881,6.4215827,-5.6143475,6.3126554,7.326539,4.580135,-6.660949,-5.435248,-10.285806,-3.5114164,6.5006576,5.1345277,-8.063377,5.8345933,8.753037
Haryana,2024,-15.982315,13.151298,11.091867,-7.561351,12.786784,13.687432,6.1568546,-13.195979,-10.240298,-15.760423,-7.120433,13.267849,7.946411,-15.34932,9.50328,15.650458
Haryana,2025,-16.114542,13.251887,11.18947,-7.647799,12.883439,13.801085,6.208098,-13.289743,-10.3152895,-15.895789,-7.1767063,13.367081,8.01477,-15.475736,9.575936,15.768357
Haryana,2026,-16.77324,13.800825,11.6978445,-8.103635,13.381586,14.384943,6.5344377,-13.784817,-10.7257,-16.677855,-7.449205,13.859864,8.410822,-16.110733,10.003532,16.411491
Haryana,2027,-16.778255,13.8045435,11.695332,-8.090998,13.388863,14.387584,6.5272985,-13.792639,-10.729817,-16.667068,-7.452903,13.868421,8.405787,-16.115303,10.001565,16.414587
Haryana,2028,-16.684715,13.727454,11.616116,-8.007355,13.323716,14.303204,6.4691815,-13.7267,-10.672364,-16.536638,-7.41579,13.803883,8.339949,-16.025517,9.934543,16.320591
Haryana,2029,-16.65439,13.702589,11.587899,-7.9731975,13.304757,14.27526,6.446416,-13.707316,-10.654146,-16.4874,-7.40439,13.785215,8.31524,-15.996589,9.910871,16.289608
Haryana,2030,-16.695812,13.736621,11.620297,-8.003105,13.335431,14.311905,6.4679117,-13.73844,-10.680015,-16.537857,-7.4215045,13.816004,8.340891,-16.03633,9.938328,16.33059
Himachal Pradesh,2024,-5.4215274,4.323131,4.2853384,-4.0767694,3.8857913,4.8221555,2.869122,-4.247907,-3.3831294,-6.618165,-2.4568868,4.1615534,3.2596405,-5.3268394,3.6239002,5.7362475
Himachal Pradesh,2025,-4.9732003,3.9863877,3.9273047,-3.6788185,3.5895488,4.4227853,2.6281927,-3.9322035,-3.1145337,-6.0689197,-2.268992,3.8575344,2.9810877,-4.8854556,3.338378,5.2769504
Himachal Pradesh,2026,-5.4331174,4.373809,4.305979,-4.04328,3.917888,4.840383,2.9005773,-4.2795753,-3.4099379,-6.6567154,-2.456635,4.1880097,3.2893212,-5.340536,3.6660304,5.752554
Himachal Pradesh,2027,-5.115176,4.108008,4.0376487,-3.7524598,3.7042,4.5507946,2.6914356,-4.048198,-3.2052019,-6.216315,-2.331365,3.9738274,3.0612495,-5.026565,3.4319096,5.4158196
Himachal Pradesh,2028,-4.698434,3.7498102,3.6915097,-3.4098234,3.4059038,4.172339,2.4306197,-3.7336357,-2.933965,-5.6621475,-2.166197,3.6778376,2.77129,-4.6127157,3.127464,4.979475
Himachal Pradesh,2029,-4.811929,3.8377771,3.7883475,-3.5321426,3.4721148,4.275111,2.5086188,-3.8088536,-3.0058172,-5.827122,-2.211047,3.745172,2.8553689,-4.7230635,3.2092912,5.1012774
Himachal Pradesh,2030,-4.9827566,3.9994876,3.9415045,-3.6962981,3.5935662,4.4336505,2.645809,-3.9387321,-3.1227787,-6.097521,-2.2714748,3.8625407,2.997074,-4.8964014,3.3540025,5.2904325
Jammu & Kashmir,2024,-6.724524,5.503815,5.426347,-5.375553,4.780199,5.9940743,3.8713834,-5.217748,-4.2427754,-8.664262,-2.9185658,5.0283546,4.288795,-6.597051,4.665383,7.156486
Jammu & Kashmir,2025,-6.739247,5.5217733,5.460483,-5.4544187,4.774926,6.014905,3.9204853,-5.218582,-4.250653,-8.746147,-2.9161599,5.0188737,4.330065,-6.616922,4.695018,7.186285
Jammu & Kashmir,2026,-6.5320916,5.3595047,5.3020983,-5.3061223,4.627016,5.8338757,3.8158717,-5.0632906,-4.1185675,-8.50681,-2.8287406,4.8670945,4.2066393,-6.415581,4.562259,6.9774537
Jammu & Kashmir,2027,-6.419848,5.27352,5.2138352,-5.218464,4.549807,5.735576,3.7558455,-4.9805756,-4.048044,-8.3729105,-2.7828014,4.787805,4.1372676,-6.307301,4.489368,6.863965
Jammu & Kashmir,2028,-6.31688,5.1892076,5.1257615,-5.118753,4.4807067,5.6429067,3.6873064,-4.905979,-3.9826434,-8.228004,-2.7433476,4.7188225,4.062944,-6.2045517,4.4155746,6.754119
Jammu & Kashmir,2029,-6.233484,5.120497,5.054106,-5.037524,4.424549,5.567746,3.6313207,-4.8454003,-3.9295928,-8.109827,-2.7115455,4.662897,4.0023527,-6.121127,4.355539,6.664886
Jammu & Kashmir,2030,-6.195027,5.0884724,5.021132,-5.001049,4.398021,5.5331807,3.6058323,-4.8170776,-3.905156,-8.0559025,-2.6970572,4.6366735,3.974681,-6.0826755,4.327928,6.6238055
Jharkhand,2024,-6.2250977,5.120879,4.8987007,-4.5782814,4.56893,5.5009847,3.361862,-4.885421,-3.934602,-7.690091,-2.7273505,4.8167844,3.7808914,-6.096515,4.2395883,6.572591
Jharkhand,2025,-6.209977,5.104476,4.9225793,-4.6816335,4.5209203,5.4999733,3.414579,-4.84986,-3.9225347,-7.7685523,-2.7144256,4.7651095,3.821616,-6.0890265,4.2559104,6.5794435
Jharkhand,2026,-6.3748527,5.233231,5.094592,-4.9445696,4.593129,5.6584625,3.5788515,-4.9450197,-4.025105,-8.086667,-2.771706,4.8369217,3.9860826,-6.2577014,4.396564,6.773751
Jharkhand,2027,-6.360728,5.221381,5.0878267,-4.9471655,4.5783963,5.647706,3.578066,-4.932291,-4.0156603,-8.0808525,-2.7654917,4.8221374,3.9832702,-6.244369,4.3901453,6.761896
Jharkhand,2028,-6.329923,5.1970305,5.0624914,-4.9205527,4.5579085,5.6210785,3.5587423,-4.9105825,-3.995908,-8.040467,-2.7540565,4.8013787,3.9623675,-6.214074,4.3691287,6.7300334
Jharkhand,2029,-6.31272,5.183475,5.048611,-4.906908,4.5461726,5.606411,3.5485392,-4.8981485,-3.9848607,-8.018878,-2.747646,4.7893424,3.9511538,-6.197207,4.357802,6.7124987
