SL,State,Indecent_I,Indecent_V,Indecent_R,Total_SLL_I,Total_SLL_V,Total_SLL_R,Total_IPC_SLL_I,Total_IPC_SLL_V,Total_IPC_SLL_R
1,Andhra Pradesh,0,0,0.0,1094,1152,4.2,17746,18023,67.9
2,Arunachal Pradesh,0,0,0.0,38,40,5.2,317,333,43.3
3,Assam,0,0,0.0,3494,3538,20.7,30025,30424,177.8
4,Bihar,1,1,0.0,4862,4977,8.4,18587,18982,32.3
5,Chhattisgarh,0,0,0.0,2063,2084,14.3,7689,7793,53.5
6,Goa,0,0,0.0,1,1,0.1,329,387,43.1
7,Gujarat,0,0,0.0,2289,2307,7.0,8799,8854,27.1
8,Haryana,0,0,0.0,2076,2089,15.3,14683,14775,108.5
9,Himachal Pradesh,0,0,0.0,58,61,1.6,1636,1664,45.4
10,Jammu & Kashmir,0,0,0.0,103,103,1.6,3069,3082,47.8
11,Jharkhand,0,0,0.0,2619,2621,14.3,8760,8821,47.8
12,Karnataka,0,0,0.0,4172,4365,12.8,13828,14648,42.5
13,Kerala,7,7,0.0,1081,1091,5.9,11462,11821,62.7
14,Madhya Pradesh,0,0,0.0,6442,6498,16.1,27560,27792,69.0
15,Maharashtra,0,0,0.0,6677,6952,11.3,37144,38108,63.1
16,Manipur,0,0,0.0,58,58,3.7,266,316,17.2
17,Meghalaya,0,0,0.0,222,234,13.8,558,644,34.6
18,Mizoram,0,0,0.0,79,81,13.3,170,218,28.7
19,Nagaland,0,0,0.0,12,14,1.2,43,62,4.1
20,Odisha,6,6,0.0,2695,2953,12.0,23183,23589,103.5
21,Punjab,1,1,0.0,402,405,2.8,5886,5938,41.5
22,Rajasthan,5,5,0.0,663,676,1.8,41550,41665,110.4
23,Sikkim,0,0,0.0,86,88,27.4,125,130,39.8
24,Tamil Nadu,2,2,0.0,2984,3231,7.9,5934,6199,15.6
25,Telangana,0,0,0.0,2086,2111,11.3,18394,18475,99.3
26,Tripura,0,0,0.0,176,179,9.0,1070,1076,54.5
27,Uttar Pradesh,1,1,0.0,11515,11775,10.6,59853,60777,55.4
28,Uttarakhand,0,0,0.0,404,416,7.4,2541,2567,46.5
29,West Bengal,0,0,0.0,2363,2425,5.0,30394,30921,64.0
30,A&N Islands,0,0,0.0,93,93,49.7,135,137,72.2
31,Chandigarh,0,0,0.0,6,6,1.1,515,526,95.2
32,D&N Haveli,0,0,0.0,39,39,17.2,49,49,21.6
33,Daman & Diu,0,0,0.0,13,22,9.9,33,42,25.2
34,Delhi,0,0,0.0,1640,1659,17.6,13395,13614,144.0
35,Lakshadweep,0,0,0.0,25,25,75.8,38,38,115.2
36,Puducherry,0,0,0.0,54,54,6.9,95,95,12.1
