SL,State,POCSO_Total_I,POCSO_Total_V,POCSO_Total_R,Child_Rape_I,Child_Rape_V,Child_Rape_R,Sexual_Assault_I,Sexual_Assault_V,Sexual_Assault_R,Harassment_I,Harassment_V,Harassment_R
1,Andhra Pradesh,498,504,1.9,263,266,1,62,63,0.2,172,173,0.7
2,Arunachal Pradesh,34,36,4.6,22,24,3,11,11,1.5,0,0,0
3,Assam,1776,1817,10.5,1261,1290,7.5,362,371,2.1,143,146,0.8
4,Bihar,1525,1590,2.6,719,720,1.2,507,515,0.9,135,190,0.2
5,Chhattisgarh,2021,2042,14.1,1377,1389,9.6,580,589,4,45,45,0.3
6,Goa,0,0,0,0,0,0,0,0,0,0,0,0
7,Gujarat,2227,2243,6.9,1539,1547,4.7,337,341,1,258,262,0.8
8,Haryana,1976,1979,14.6,1117,1119,8.3,653,654,4.8,179,179,1.3
9,Himachal Pradesh,10,10,0.3,0,0,0,4,4,0.1,0,0,0
10,Jammu & Kashmir,97,97,1.5,75,75,1.2,18,18,0.3,0,0,0
11,Jharkhand,640,640,3.5,461,461,2.5,126,126,0.7,8,8,0
12,Karnataka,2139,2188,6.6,1614,1641,5,352,367,1.1,128,135,0.4
13,Kerala,806,809,4.4,67,67,0.4,547,550,3,117,117,0.6
14,Madhya Pradesh,6053,6065,15.1,3337,3349,8.4,2668,2668,6.7,37,37,0.1
15,Maharashtra,6402,6568,10.9,3117,3161,5.3,3160,3277,5.4,94,99,0.2
16,Manipur,57,57,3.7,47,47,3,8,8,0.5,1,1,0.1
17,Meghalaya,216,219,13.4,144,145,8.9,59,61,3.7,6,6,0.4
18,Mizoram,79,81,13.3,36,36,6.1,41,41,6.9,2,4,0.3
19,Nagaland,12,14,1.2,10,12,1,2,2,0.2,0,0,0
20,Odisha,2036,2124,9.1,1417,1505,6.3,72,72,0.3,4,4,0
21,Punjab,364,367,2.6,232,235,1.6,122,122,0.9,5,5,0
22,Rajasthan,571,571,1.5,2,2,0,3,3,0,20,20,0.1
23,Sikkim,85,87,27.1,58,58,18.5,26,26,8.3,1,3,0.3
24,Tamil Nadu,2358,2389,6.2,1726,1729,4.6,457,468,1.2,141,156,0.4
25,Telangana,1991,2004,10.7,1180,1191,6.4,751,753,4.1,55,55,0.3
26,Tripura,174,176,8.9,107,109,5.4,63,63,3.2,2,2,0.1
27,Uttar Pradesh,7444,7570,6.9,3264,3301,3,3813,3899,3.5,45,46,0
28,Uttarakhand,358,358,6.6,231,231,4.2,100,100,1.8,15,15,0.3
29,West Bengal,2240,2246,4.7,1365,1369,2.9,625,627,1.3,201,201,0.4
30,A&N Islands,92,92,49.2,83,83,44.4,5,5,2.7,4,4,2.1
31,Chandigarh,4,4,0.7,1,1,0.2,3,3,0.6,0,0,0
32,D&N Haveli,39,39,17.2,38,38,16.7,1,1,0.4,0,0,0
33,Daman & Diu,12,12,9.2,9,9,6.9,1,1,0.8,1,1,0.8
34,Delhi,1596,1611,17.2,953,957,10.2,593,604,6.4,43,43,0.5
35,Lakshadweep,25,25,75.8,14,14,42.4,7,7,21.2,4,4,12.1
36,Puducherry,48,48,6.1,48,48,6.1,0,0,0,0,0,0
