SL,State,Indecent_I,Indecent_V,Indecent_R,Total_SLL_I,Total_SLL_V,Total_SLL_R,Total_IPC_SLL_I,Total_IPC_SLL_V,Total_IPC_SLL_R
1,Andhra Pradesh,0,0,0.0,981,1004,3.7,17089,17219,65.0
2,Arunachal Pradesh,0,0,0.0,26,26,3.5,281,296,38.0
3,Assam,0,0,0.0,2378,2449,13.9,26352,27028,154.3
4,Bihar,0,0,0.0,4200,4205,7.2,15359,15457,26.3
5,Chhattisgarh,0,0,0.0,2083,2094,14.3,7385,7642,50.7
6,Goa,0,0,0.0,1,1,0.1,219,239,28.5
7,Gujarat,2,2,0.0,2408,2431,7.3,8028,8071,24.4
8,Haryana,0,0,0.0,1873,1893,13.6,13000,13049,94.7
9,Himachal Pradesh,0,0,0.0,46,47,1.3,1614,1622,44.5
10,Jharkhand,0,0,0.0,2516,2536,13.5,7630,7706,41.0
11,Karnataka,1,1,0.0,3906,4164,11.9,12680,13534,38.7
12,Kerala,3,3,0.0,2134,2177,11.6,10139,10316,55.1
13,Madhya Pradesh,0,0,0.0,5928,5967,14.6,25640,25998,63.3
14,Maharashtra,0,0,0.0,5785,5909,9.7,31954,32363,53.8
15,Manipur,0,0,0.0,78,79,5.0,247,248,15.8
16,Meghalaya,0,0,0.0,329,333,20.2,568,574,34.9
17,Mizoram,0,0,0.0,101,102,16.9,172,173,28.8
18,Nagaland,0,0,0.0,17,19,1.6,39,41,3.7
19,Odisha,3,3,0.0,3062,3062,13.6,25489,25540,112.9
20,Punjab,0,0,0.0,756,766,5.3,4838,4875,33.8
21,Rajasthan,0,0,0.0,328,337,0.9,34535,34763,90.5
22,Sikkim,0,0,0.0,97,99,30.6,140,146,44.2
23,Tamil Nadu,3,3,0.0,3686,3883,9.7,6630,6888,17.4
24,Telangana,0,0,0.0,2129,2153,11.4,17791,18337,95.4
25,Tripura,0,0,0.0,145,146,7.3,874,880,44.0
26,Uttar Pradesh,0,0,0.0,10110,10160,9.2,49385,49761,45.1
27,Uttarakhand,0,0,0.0,732,732,13.3,2846,2848,51.6
28,West Bengal,0,0,0.0,2700,2805,5.6,36439,36975,76.2
29,A&N Islands,0,0,0.0,117,117,62.2,143,144,76.1
30,Chandigarh,0,0,0.0,1,1,0.2,301,304,54.8
31,D&N Haveli and Daman & Diu,0,0,0.0,41,41,11.0,61,61,16.3
32,Delhi,0,0,0.0,1162,1162,12.2,10093,10213,106.4
33,Jammu & Kashmir,0,0,0.0,216,216,3.4,3405,3439,53.7
34,Ladakh,0,0,0.0,0,0,0.0,9,9,7.0
35,Lakshadweep,0,0,0.0,8,8,24.2,15,15,45.5
36,Puducherry,0,0,0.0,69,69,8.6,113,113,14.0
