SL,State,Simple_Hurt_I,Simple_Hurt_V,Simple_Hurt_R,Grievous_Hurt_I,Grievous_Hurt_V,Grievous_Hurt_R,Kidnap_Total_I,Kidnap_Total_V,Kidnap_Total_R,Sec363_I,Sec363_V,Sec363_R
1,Andhra Pradesh,64,71,0.4,4,5,0.0,487,509,3.2,351,360,2.3
2,Arunachal Pradesh,2,3,0.3,2,2,0.3,52,52,8.8,49,49,8.3
3,Assam,9,9,0.1,11,11,0.1,2704,2780,22.4,1203,1253,10.0
4,Bihar,586,633,1.2,48,48,0.1,3918,3959,8.2,938,958,2.0
5,Chhattisgarh,367,394,3.8,13,14,0.1,2612,2658,26.8,2503,2548,25.7
6,Goa,14,15,3.7,0,0,0.0,44,47,11.5,44,47,11.5
7,Gujarat,13,13,0.1,16,16,0.1,1210,1241,5.8,713,744,3.4
8,Haryana,31,31,0.3,4,6,0.0,2050,2239,22.5,273,282,3.0
9,Himachal Pradesh,0,0,0.0,1,1,0.0,393,403,18.2,186,189,8.6
10,Jharkhand,17,25,0.1,4,4,0.0,583,590,4.2,88,90,0.6
11,Karnataka,114,123,0.6,3,3,0.0,2546,2637,13.2,2469,2559,12.8
12,Kerala,170,211,1.8,6,6,0.1,259,263,2.8,213,217,2.3
13,Madhya Pradesh,1476,1576,5.1,105,113,0.4,9137,9581,31.8,7786,8224,27.1
14,Maharashtra,146,148,0.4,55,57,0.2,9555,9848,26.5,9194,9415,25.5
15,Manipur,0,0,0.0,1,1,0.1,36,37,3.5,12,12,1.2
16,Meghalaya,0,0,0.0,4,4,0.3,63,64,4.6,42,43,3.0
17,Mizoram,2,2,0.5,2,2,0.5,2,2,0.5,1,1,0.2
18,Nagaland,1,1,0.1,2,2,0.2,10,11,1.2,9,10,1.1
19,Odisha,8,8,0.1,1,1,0.0,5187,5192,36.0,5130,5135,35.6
20,Punjab,5,5,0.1,4,6,0.0,1440,1450,16.5,21,25,0.2
21,Rajasthan,5,5,0.0,1,1,0.0,3593,3623,12.8,2368,2387,8.4
22,Sikkim,1,2,0.5,0,0,0.0,38,45,18.5,37,44,18.0
23,Tamil Nadu,80,99,0.4,8,8,0.0,259,274,1.3,60,73,0.3
24,Telangana,45,47,0.4,2,2,0.0,1748,1785,15.4,1316,1352,11.6
25,Tripura,0,0,0.0,0,0,0.0,106,106,8.6,45,45,3.7
26,Uttar Pradesh,181,277,0.2,43,76,0.1,6814,6869,8.0,3310,3329,3.9
27,Uttarakhand,0,0,0.0,6,6,0.2,239,241,6.3,171,173,4.5
28,West Bengal,0,0,0.0,16,19,0.1,6394,6421,21.3,4012,4026,13.4
29,A&N Islands,1,1,0.9,0,0,0.0,6,7,5.3,6,7,5.3
30,Chandigarh,3,3,0.9,0,0,0.0,149,153,46.0,132,135,40.7
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,46,46,23.9,46,46,23.9
32,Delhi,27,42,0.5,6,6,0.1,5053,5353,91.3,5045,5345,91.1
33,Jammu & Kashmir,0,0,0.0,0,0,0.0,478,493,9.7,362,377,7.4
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,1,1,5.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,34,35,9.5,34,35,9.5
