SL,State,Pending_Start_Year,Apprehended_During_Year,Total_Apprehended,Discharged_During_Investigation,Sent_Home_After_Advice,Sent_To_Special_Home,Dealt_With_Fine,Awarded_Imprisonment,Acquitted_Or_Discharged,Conviction_Rate_Percent,Pending_End_Year
1,Andhra Pradesh,852,900,1752,150,173,96,69,19,171,67.6,1074
2,Arunachal Pradesh,92,33,125,45,18,6,0,0,18,57.1,38
3,Assam,228,254,482,79,102,53,15,0,23,88.1,210
4,Bihar,1396,869,2265,7,424,194,28,0,43,93.8,1569
5,Chhattisgarh,3385,2553,5938,232,734,1239,244,134,197,92.3,3158
6,Goa,78,29,107,0,6,3,0,0,14,39.1,84
7,Gujarat,1758,2171,3929,33,1363,807,8,2,145,93.8,1571
8,Haryana,1614,1271,2885,23,168,224,46,45,139,77.7,2240
9,Himachal Pradesh,103,245,348,2,185,18,3,0,12,94.5,128
10,Jharkhand,111,59,170,28,0,4,0,0,0,100.0,138
11,Karnataka,549,531,1080,8,340,224,27,0,43,93.2,438
12,Kerala,327,434,761,52,286,68,13,5,31,92.3,306
13,Madhya Pradesh,7304,5497,12801,671,2595,1008,869,48,427,91.4,7183
14,Maharashtra,6980,5080,12060,539,3425,673,137,24,237,94.7,7025
15,Manipur,6,28,34,0,16,16,0,0,0,100.0,2
16,Meghalaya,116,72,188,0,26,1,11,0,20,65.5,130
17,Mizoram,1,22,23,0,13,3,0,0,0,100.0,7
18,Nagaland,7,11,18,0,0,0,0,0,0,18.0,0
19,Odisha,49,1360,1409,0,58,1200,0,0,27,97.9,124
20,Punjab,356,332,688,24,87,135,36,5,43,85.9,358
21,Rajasthan,1744,2930,4674,102,614,1319,218,47,220,90.9,2154
22,Sikkim,19,13,32,1,1,4,0,0,2,71.4,24
23,Tamil Nadu,2766,3843,6609,32,2151,256,67,94,274,90.4,3735
24,Telangana,1282,1266,2548,59,794,154,93,14,43,96.1,1391
25,Tripura,74,29,103,52,8,27,0,0,0,100.0,16
26,Uttar Pradesh,1395,1458,2853,97,270,704,163,57,62,95.1,1500
27,Uttarakhand,105,85,190,10,60,9,0,0,12,85.2,99
28,West Bengal,1441,630,2071,156,208,143,19,7,143,72.5,1395
29,A&N Islands,140,25,165,0,0,2,24,0,1,96.3,138
30,Chandigarh,127,78,205,0,0,0,10,20,52,36.6,123
31,D&N Haveli and Daman & Diu,39,29,68,5,2,1,0,0,28,9.7,32
32,Delhi,3552,2940,6492,303,2202,692,57,5,150,95.2,3083
33,Jammu & Kashmir,453,215,668,38,151,26,0,0,20,89.8,433
34,Ladakh,0,0,0,0,0,0,0,0,0,0.0,0
35,Lakshadweep,0,2,2,0,2,0,0,0,0,100.0,0
36,Puducherry,323,58,381,0,0,0,0,0,0,381.0,4634
