SNo,State,Male<18,Female<18,Total<18,Male>18,Female>18,Total>18,MaleTotal,FemaleTotal,GrandTotal
1,Andhra Pradesh,9,10,19,0,182,182,9,192,201
2,Arunachal Pradesh,4,13,17,0,1,1,4,14,18
3,Assam,14,80,94,26,55,81,40,135,175
4,Bihar,261,92,353,66,91,157,327,183,510
5,Chhattisgarh,7,14,21,6,25,31,13,39,52
6,Goa,0,1,1,0,25,25,0,26,26
7,Gujarat,11,9,20,7,8,15,18,17,35
8,Haryana,2,6,8,42,42,84,44,48,92
9,Himachal Pradesh,0,0,0,0,31,31,0,31,31
10,Jharkhand,27,44,71,9,17,26,36,61,97
11,Karnataka,2,1,3,0,32,32,2,33,35
12,Kerala,20,71,91,2,11,13,22,82,104
13,Madhya Pradesh,19,37,56,10,59,69,29,96,125
14,Maharashtra,76,63,139,0,816,816,76,879,955
15,Manipur,3,0,3,0,1,1,3,1,4
16,Meghalaya,0,0,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0
19,Odisha,154,188,342,495,409,904,649,597,1246
20,Punjab,26,5,31,21,19,40,47,24,71
21,Rajasthan,343,15,358,1,4,5,344,19,363
22,Sikkim,0,0,0,0,1,1,0,1,1
23,Tamil Nadu,0,0,0,0,0,0,0,0,0
24,Telangana,19,16,35,3,588,591,22,604,626
25,Tripura,4,8,12,38,17,55,42,25,67
26,Uttar Pradesh,1,63,64,0,122,122,1,185,186
27,Uttarakhand,6,35,41,0,17,17,6,52,58
28,West Bengal,4,36,40,3,15,18,7,51,58
29,A & N Islands,0,0,0,0,0,0,0,0,0
30,Chandigarh,0,0,0,0,13,13,0,13,13
31,DNH and Daman & Diu,0,0,0,0,0,0,0,0,0
32,Delhi UT,605,144,749,41,52,93,646,196,842
33,Jammu & Kashmir,2,8,10,0,25,25,2,33,35
34,Ladakh,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0,0,0
36,Puducherry,0,2,2,0,15,15,0,17,17
