SL,State,Assault_I,Assault_V,Assault_R,Insult_I,Insult_V,Insult_R,Other_IPC_I,Other_IPC_V,Other_IPC_R,Total_I,Total_V,Total_R
1,Andhra Pradesh,493,495,3.3,28,28,0.2,300,333,2.0,2106,2223,13.9
2,Arunachal Pradesh,8,8,1.4,1,1,0.2,11,11,1.9,138,139,23.4
3,Assam,5,5,0.0,0,0,0.0,94,107,0.8,2921,3101,24.2
4,Bihar,2,3,0.0,0,0,0.0,483,540,1.0,5257,5579,11.1
5,Chhattisgarh,0,0,0.0,4,4,0.0,433,508,4.4,3586,3745,36.8
6,Goa,19,21,5.0,0,0,0.0,12,12,3.1,142,150,37.2
7,Gujarat,39,40,0.2,0,0,0.0,407,456,1.9,1914,2003,9.2
8,Haryana,0,0,0.0,2,2,0.0,1116,1186,12.2,3322,3594,36.4
9,Himachal Pradesh,68,68,3.2,1,1,0.0,10,10,0.5,710,725,33.0
10,Jharkhand,46,46,0.3,0,0,0.0,16,28,0.1,1036,1094,7.5
11,Karnataka,2,2,0.0,0,0,0.0,991,1481,5.1,3868,4476,20.0
12,Kerala,626,640,6.7,29,31,0.3,186,796,2.0,1431,2125,15.2
13,Madhya Pradesh,0,0,0.0,3,3,0.0,1855,2253,6.4,13049,14052,45.4
14,Maharashtra,0,0,0.0,1,1,0.0,608,705,1.7,10801,11210,29.9
15,Manipur,1,1,0.1,0,0,0.0,0,0,0.0,40,42,3.9
16,Meghalaya,0,0,0.0,0,0,0.0,12,18,0.9,92,100,6.7
17,Mizoram,0,0,0.0,0,0,0.0,6,10,1.4,15,19,3.6
18,Nagaland,0,0,0.0,0,0,0.0,2,2,0.2,18,19,2.2
19,Odisha,0,0,0.0,0,0,0.0,29,34,0.2,5245,5255,36.4
20,Punjab,46,46,0.5,0,0,0.0,113,142,1.3,1719,1770,19.7
21,Rajasthan,1024,1024,3.6,11,11,0.0,239,274,0.8,6494,6566,23.1
22,Sikkim,0,0,0.0,0,0,0.0,9,9,4.4,49,57,23.8
23,Tamil Nadu,0,0,0.0,0,0,0.0,719,875,3.5,1170,1388,5.7
24,Telangana,102,106,0.9,6,6,0.1,303,382,2.7,2292,2420,20.1
25,Tripura,0,0,0.0,0,0,0.0,0,0,0.0,110,111,9.0
26,Uttar Pradesh,1315,1369,1.5,1,1,0.0,699,880,0.8,9618,10074,11.3
27,Uttarakhand,49,49,1.3,0,0,0.0,158,168,4.2,474,486,12.5
28,West Bengal,0,0,0.0,0,0,0.0,225,247,0.8,6768,6837,22.6
29,A&N Islands,0,0,0.0,0,0,0.0,5,5,4.5,13,14,11.6
30,Chandigarh,12,12,3.7,0,0,0.0,13,14,4.0,226,231,69.7
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,3,3,1.6,50,50,26.0
32,Delhi,0,0,0.0,0,0,0.0,190,228,3.4,5426,6109,98.0
33,Jammu & Kashmir,0,0,0.0,0,0,0.0,36,59,0.7,541,579,11.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.2
35,Lakshadweep,0,0,0.0,0,0,0.0,1,1,5.0,3,3,15.1
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,34,35,9.5
