SL,State,Indecent_I,Indecent_V,Indecent_R,Total_SLL_I,Total_SLL_V,Total_SLL_R,Total_IPC_SLL_I,Total_IPC_SLL_V,Total_IPC_SLL_R
1,Andhra Pradesh,3,3,0.0,2410,2437,9.1,22418,22804,84.2
2,Arunachal Pradesh,0,0,0.0,55,58,7.2,326,344,42.8
3,Assam,0,0,0.0,2926,2956,16.6,12070,12475,68.6
4,Bihar,2,2,0.0,6133,6165,10.0,22952,23067,37.5
5,Chhattisgarh,0,0,0.0,2196,2238,14.5,8035,8143,53.2
6,Goa,0,0,0.0,9,18,1.1,286,327,36.5
7,Gujarat,0,0,0.0,2687,2773,7.9,7805,7948,22.9
8,Haryana,0,0,0.0,2204,2218,15.4,15758,15852,110.3
9,Himachal Pradesh,0,0,0.0,38,47,1.0,1604,1632,43.5
10,Jharkhand,0,0,0.0,2424,2505,12.5,6989,7207,36.1
11,Karnataka,1,1,0.0,6943,7356,20.8,20336,22545,60.9
12,Kerala,0,0,0.0,4648,4716,25.0,16025,16313,86.1
13,Madhya Pradesh,4,4,0.0,6591,6654,15.6,32342,33028,76.8
14,Maharashtra,0,0,0.0,8836,9068,14.5,47101,48343,77.5
15,Manipur,0,0,0.0,55,57,3.4,201,205,12.5
16,Meghalaya,0,0,0.0,410,427,24.5,628,671,37.5
17,Mizoram,0,0,0.0,113,115,18.4,184,186,29.9
18,Nagaland,0,0,0.0,19,20,1.8,56,57,5.2
19,Odisha,8,9,0.0,3157,3171,13.7,25914,25958,112.4
20,Punjab,0,0,0.0,862,907,5.9,5258,5347,35.9
21,Rajasthan,6,6,0.0,3805,3813,9.6,45450,45827,114.8
22,Sikkim,0,0,0.0,90,95,27.5,134,146,41.0
23,Tamil Nadu,1,1,0.0,5364,5778,13.9,8943,9463,23.2
24,Telangana,0,0,0.0,3309,3338,17.5,23678,24374,124.9
25,Tripura,0,0,0.0,146,151,7.1,791,817,38.7
26,Uttar Pradesh,4,4,0.0,16270,16963,14.4,66381,68374,58.6
27,Uttarakhand,0,0,0.0,925,939,16.3,3808,3918,66.9
28,West Bengal,1,1,0.0,2763,2790,5.7,34691,35898,71.3
29,A&N Islands,0,0,0.0,124,125,64.9,205,206,107.3
30,Chandigarh,0,0,0.0,5,6,0.9,371,382,65.2
31,D&N Haveli and Daman & Diu,0,0,0.0,64,64,14.6,124,124,28.4
32,Delhi,0,0,0.0,1751,1763,17.4,13439,13694,133.6
33,Jammu & Kashmir,0,0,0.0,386,390,5.9,3653,3708,56.2
34,Ladakh,0,0,0.0,3,3,2.3,20,21,15.2
35,Lakshadweep,1,1,3.0,11,11,33.3,23,23,69.7
36,Puducherry,0,0,0.0,118,121,13.6,212,230,24.4
