SL,State,Insult_Total_I,Insult_Total_V,Insult_Total_R,Insult_18_I,Insult_18_V,Insult_18_R,Insult_Below18_I,Insult_Below18_V,Insult_Below18_R,Total_Crime_I,Total_Crime_V,Total_Crime_R
1,Andhra Pradesh,1892,1900,7.2,1854,1862,7.1,38,38,0.1,16652,16871,63.7
2,Arunachal Pradesh,6,6,0.8,6,6,0.8,0,0,0.0,279,293,38.1
3,Assam,385,385,2.3,385,385,2.3,0,0,0.0,26531,26886,157.1
4,Bihar,11,13,0.0,11,13,0.0,0,0,0.0,13725,14005,23.8
5,Chhattisgarh,232,233,1.6,229,230,1.6,3,3,0.0,5626,5709,39.1
6,Goa,37,37,4.8,35,35,4.6,2,2,0.3,328,386,42.9
7,Gujarat,16,16,0.0,15,15,0.0,1,1,0.0,6510,6547,20.0
8,Haryana,173,174,1.3,173,174,1.3,0,0,0.0,12607,12686,93.2
9,Himachal Pradesh,72,75,2.0,71,74,2.0,1,1,0.0,1578,1603,43.8
10,Jammu & Kashmir,15,15,0.2,15,15,0.2,0,0,0.0,2966,2979,46.2
11,Jharkhand,7,7,0.0,6,6,0.0,1,1,0.0,6141,6200,33.5
12,Karnataka,107,290,0.3,104,287,0.3,3,3,0.0,9656,10283,29.7
13,Kerala,435,443,2.4,411,417,2.2,24,26,0.1,10381,10730,56.8
14,Madhya Pradesh,174,175,0.4,174,175,0.4,0,0,0.0,21118,21294,52.8
15,Maharashtra,1074,1084,1.8,1074,1084,1.8,0,0,0.0,30467,31156,51.8
16,Manipur,7,7,0.5,7,7,0.5,0,0,0.0,208,258,13.4
17,Meghalaya,18,18,1.1,16,16,1.0,2,2,0.1,336,410,20.9
18,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,91,137,15.4
19,Nagaland,1,1,0.1,1,1,0.1,0,0,0.0,31,48,3.0
20,Odisha,536,537,2.4,534,535,2.4,2,2,0.0,20488,20636,91.5
21,Punjab,35,36,0.2,31,32,0.2,4,4,0.0,5484,5533,38.6
22,Rajasthan,69,69,0.2,59,59,0.2,10,10,0.0,40887,40989,108.6
23,Sikkim,2,2,0.6,2,2,0.6,0,0,0.0,39,42,12.4
24,Tamil Nadu,7,7,0.0,7,7,0.0,0,0,0.0,2950,2968,7.8
25,Telangana,695,697,3.8,694,696,3.7,1,1,0.0,16308,16364,88.0
26,Tripura,5,5,0.3,5,5,0.3,0,0,0.0,894,897,45.5
27,Uttar Pradesh,42,42,0.0,34,34,0.0,8,8,0.0,48338,49002,44.7
28,Uttarakhand,10,10,0.2,10,10,0.2,0,0,0.0,2137,2151,39.1
29,West Bengal,391,394,0.8,391,394,0.8,0,0,0.0,28031,28496,59.0
30,A&N Islands,3,3,1.6,3,3,1.6,0,0,0.0,42,44,22.5
31,Chandigarh,15,15,2.8,15,15,2.8,0,0,0.0,509,520,94.1
32,D&N Haveli,0,0,0.0,0,0,0.0,0,0,0.0,10,10,4.4
33,Daman & Diu,3,3,2.3,3,3,2.3,0,0,0.0,20,20,15.3
34,Delhi,456,462,4.9,456,462,4.9,0,0,0.0,11755,11955,126.3
35,Lakshadweep,8,8,24.2,8,8,24.2,0,0,0.0,13,13,39.4
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,41,41,5.2
