SL,State,Assault_Total_I,Assault_Total_V,Assault_Total_R,Assault_18_I,Assault_18_V,Assault_18_R,Assault_Below18_I,Assault_Below18_V,Assault_Below18_R
1,Andhra Pradesh,4444,4499,17.0,4132,4187,15.8,312,312,1.2
2,Arunachal Pradesh,80,85,10.9,75,80,10.2,5,5,0.7
3,Assam,4619,4645,27.4,4565,4591,27.0,54,54,0.3
4,Bihar,312,316,0.5,307,311,0.5,5,5,0.0
5,Chhattisgarh,1316,1320,9.2,1310,1314,9.1,6,6,0.0
6,Goa,119,125,15.6,104,108,13.6,15,17,2.0
7,Gujarat,1048,1055,3.2,1039,1046,3.2,9,9,0.0
8,Haryana,2581,2585,19.1,2517,2521,18.6,64,64,0.5
9,Himachal Pradesh,498,509,13.8,442,443,12.3,56,66,1.6
10,Jammu & Kashmir,1440,1444,22.4,1433,1437,22.3,7,7,0.1
11,Jharkhand,1646,1668,9.0,1583,1605,8.6,63,63,0.3
12,Karnataka,4937,5186,15.2,4934,5183,15.2,3,3,0.0
13,Kerala,4507,4738,24.6,3769,3989,20.6,738,749,4.0
14,Madhya Pradesh,5585,5607,14.0,5585,5607,14.0,0,0,0.0
15,Maharashtra,10472,10512,17.8,10472,10512,17.8,0,0,0.0
16,Manipur,59,60,3.8,56,57,3.6,3,3,0.2
17,Meghalaya,96,99,6.0,87,90,5.4,9,9,0.6
18,Mizoram,35,35,5.9,33,33,5.6,2,2,0.3
19,Nagaland,8,8,0.8,6,6,0.6,2,2,0.2
20,Odisha,11308,11318,50.5,11287,11297,50.4,21,21,0.1
21,Punjab,944,945,6.7,811,811,5.7,133,134,0.9
22,Rajasthan,8802,8807,23.4,7732,7737,20.5,1070,1070,2.8
23,Sikkim,21,24,6.7,19,22,6.1,2,2,0.6
24,Tamil Nadu,803,805,2.1,800,802,2.1,3,3,0.0
25,Telangana,4190,4207,22.6,4169,4186,22.5,21,21,0.1
26,Tripura,153,154,7.8,153,154,7.8,0,0,0.0
27,Uttar Pradesh,11988,12157,11.1,10455,10597,9.7,1533,1560,1.4
28,Uttarakhand,475,478,8.7,413,416,7.6,62,62,1.1
29,West Bengal,3399,3416,7.2,3383,3400,7.1,16,16,0.0
30,A&N Islands,25,27,13.4,24,26,12.8,1,1,0.5
31,Chandigarh,66,66,12.2,53,53,9.8,13,13,2.4
32,D&N Haveli,3,3,1.3,3,3,1.3,0,0,0.0
33,Daman & Diu,5,5,3.8,5,5,3.8,0,0,0.0
34,Delhi,2355,2356,25.3,2355,2356,25.3,0,0,0.0
35,Lakshadweep,5,5,15.2,5,5,15.2,0,0,0.0
36,Puducherry,23,23,2.9,23,23,2.9,0,0,0.0
