SNo,State,Male<18,Female<18,Total<18,Male>18,Female>18,Total>18,MaleTotal,FemaleTotal,GrandTotal
1,Andhra Pradesh,1,7,8,7,242,249,8,249,257
2,Arunachal Pradesh,3,10,13,0,0,0,3,10,13
3,Assam,6,61,67,2,88,90,8,149,157
4,Bihar,75,48,123,2,54,56,77,102,179
5,Chhattisgarh,18,21,39,39,18,57,57,39,96
6,Goa,0,1,1,0,29,29,0,30,30
7,Gujarat,61,4,65,14,8,22,75,12,87
8,Haryana,1,6,7,1,10,11,2,16,18
9,Himachal Pradesh,2,0,2,0,11,11,2,11,13
10,Jharkhand,13,64,77,35,166,201,48,230,278
11,Karnataka,1,0,1,7,31,38,8,31,39
12,Kerala,30,149,179,1,16,17,31,165,196
13,Madhya Pradesh,13,62,75,0,38,38,13,100,113
14,Maharashtra,5,60,65,1,491,492,6,551,557
15,Manipur,2,2,4,0,5,5,2,7,9
16,Meghalaya,0,1,1,0,1,1,0,2,2
17,Mizoram,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0
19,Odisha,81,78,159,403,202,605,484,280,764
20,Punjab,59,2,61,2,18,20,61,20,81
21,Rajasthan,762,53,815,0,3,3,762,56,818
22,Sikkim,0,2,2,0,2,2,0,4,4
23,Tamil Nadu,8,15,23,7,6,13,15,21,36
24,Telangana,23,8,31,14,393,407,37,401,438
25,Tripura,1,1,2,0,0,0,1,1,2
26,Uttar Pradesh,0,58,58,0,116,116,0,174,174
27,Uttarakhand,0,8,8,0,5,5,0,13,13
28,West Bengal,5,51,56,3,16,19,8,67,75
,TOTAL STATE(S),1170,772,1942,538,1969,2507,1708,2741,4449
29,A & N Islands,0,0,0,0,0,0,0,0,0
30,Chandigarh,1,2,3,0,0,0,1,2,3
31,DNH and Daman & Diu,0,2,2,0,0,0,0,2,2
33,Delhi UT,178,24,202,15,7,22,193,31,224
34,Jammu & Kashmir,1,1,2,0,0,0,1,1,2
35,Ladakh,0,0,0,0,0,0,0,0,0
36,Lakshadweep,0,0,0,0,0,0,0,0,0
37,Puducherry,0,0,0,0,0,0,0,0,0
,TOTAL UT(S),180,29,209,15,7,22,195,36,231
,TOTAL (ALL INDIA),1350,801,2151,553,1976,2529,1903,2777,4680
