SL,State,Miscarriage_I,Miscarriage_V,Miscarriage_R,Acid_Attack_I,Acid_Attack_V,Acid_Attack_R,Attempt_Acid_I,Attempt_Acid_V,Attempt_Acid_R,Cruelty_I,Cruelty_V,Cruelty_R
1,Andhra Pradesh,8,8,0.0,4,4,0.0,1,1,0.0,6546,6579,24.9
2,Arunachal Pradesh,0,0,0.0,0,0,0.0,0,0,0.0,69,70,9.3
3,Assam,29,29,0.2,4,4,0.0,2,2,0.0,11408,11413,66.8
4,Bihar,1,1,0.0,1,1,0.0,0,0,0.0,1935,1936,3.3
5,Chhattisgarh,1,1,0.0,1,1,0.0,0,0,0.0,641,674,4.4
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0,8,8,1.0
7,Gujarat,0,0,0.0,4,4,0.0,8,8,0.0,3345,3345,10.2
8,Haryana,7,7,0.1,1,1,0.0,0,0,0.0,4119,4122,30.0
9,Himachal Pradesh,2,2,0.1,0,0,0.0,0,0,0.0,259,259,7.1
10,Jharkhand,8,8,0.0,1,1,0.0,0,0,0.0,857,882,4.6
11,Karnataka,2,2,0.0,5,6,0.0,1,1,0.0,2055,2092,6.3
12,Kerala,0,0,0.0,4,4,0.0,2,2,0.0,2707,2736,14.7
13,Madhya Pradesh,37,37,0.1,5,5,0.0,4,4,0.0,5540,5540,13.7
14,Maharashtra,18,18,0.0,4,4,0.0,1,1,0.0,6729,6749,11.3
15,Manipur,0,0,0.0,0,0,0.0,0,0,0.0,7,7,0.4
16,Meghalaya,0,0,0.0,2,2,0.1,0,0,0.0,17,17,1.0
17,Mizoram,0,0,0.0,0,0,0.0,0,0,0.0,7,7,1.2
18,Nagaland,0,0,0.0,0,0,0.0,0,0,0.0,2,2,0.2
19,Odisha,2,2,0.0,6,6,0.0,0,0,0.0,3659,3659,16.2
20,Punjab,7,7,0.0,2,2,0.0,1,1,0.0,1271,1271,8.9
21,Rajasthan,1,1,0.0,2,2,0.0,0,0,0.0,13765,13896,36.1
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.3
23,Tamil Nadu,0,0,0.0,0,0,0.0,1,1,0.0,689,702,1.8
24,Telangana,0,0,0.0,3,4,0.0,0,0,0.0,7453,7745,40.0
25,Tripura,3,3,0.2,2,2,0.1,0,0,0.0,356,358,17.9
26,Uttar Pradesh,85,85,0.1,21,23,0.0,4,4,0.0,14454,14533,13.2
27,Uttarakhand,0,0,0.0,1,1,0.0,0,0,0.0,668,669,12.1
28,West Bengal,26,27,0.1,29,29,0.1,5,5,0.0,19962,19966,41.7
29,A&N Islands,0,0,0.0,0,0,0.0,0,0,0.0,2,2,1.1
30,Chandigarh,0,0,0.0,1,1,0.2,0,0,0.0,96,96,17.5
31,D&N Haveli and Daman & Diu,0,0,0.0,0,0,0.0,0,0,0.0,4,4,1.1
32,Delhi,2,2,0.0,2,2,0.0,3,3,0.0,2557,2591,27.0
33,Jammu & Kashmir,0,0,0.0,0,0,0.0,0,0,0.0,349,349,5.5
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,3,3,2.3
35,Lakshadweep,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,9,9,1.1
