SL,State,Assault_Total_I,Assault_Total_V,Assault_Total_R,Assault_18_I,Assault_18_V,Assault_18_R,Assault_Below18_I,Assault_Below18_V,Assault_Below18_R
1,Andhra Pradesh,4886,4888,18.6,4373,4375,16.6,513,513,2.0
2,Arunachal Pradesh,73,76,9.9,70,73,9.5,3,3,0.4
3,Assam,4642,4654,27.2,4628,4640,27.1,14,14,0.1
4,Bihar,584,587,1.0,541,544,0.9,43,43,0.1
5,Chhattisgarh,1461,1640,10.0,1380,1559,9.5,81,81,0.6
6,Goa,67,71,8.7,57,61,7.4,10,10,1.3
7,Gujarat,846,852,2.6,829,835,2.5,17,17,0.1
8,Haryana,2339,2339,17.0,2339,2339,17.0,0,0,0.0
9,Himachal Pradesh,538,541,14.8,470,471,13.0,68,70,1.9
10,Jharkhand,1358,1361,7.3,1294,1297,7.0,64,64,0.3
11,Karnataka,4751,5248,14.5,4745,5242,14.5,6,6,0.0
12,Kerala,3890,3971,21.2,3270,3340,17.8,620,631,3.4
13,Madhya Pradesh,5378,5431,13.3,5251,5304,13.0,127,127,0.3
14,Maharashtra,9965,10007,16.8,9965,10007,16.8,0,0,0.0
15,Manipur,61,61,3.9,60,60,3.8,1,1,0.1
16,Meghalaya,86,86,5.3,76,76,4.7,10,10,0.6
17,Mizoram,26,26,4.3,26,26,4.3,0,0,0.0
18,Nagaland,7,7,0.7,7,7,0.7,0,0,0.0
19,Odisha,12605,12641,55.8,12605,12641,55.8,0,0,0.0
20,Punjab,731,732,5.1,713,714,5.0,18,18,0.1
21,Rajasthan,8661,8690,22.7,7646,7672,20.0,1015,1018,2.7
22,Sikkim,18,19,5.7,17,18,5.4,1,1,0.3
23,Tamil Nadu,892,907,2.3,870,885,2.3,22,22,0.1
24,Telangana,4907,4928,26.3,4754,4775,25.5,153,153,0.8
25,Tripura,115,118,5.8,114,117,5.7,1,1,0.1
26,Uttar Pradesh,9864,9903,9.0,8601,8639,7.8,1263,1264,1.2
27,Uttarakhand,474,474,8.6,448,448,8.1,26,26,0.5
28,West Bengal,2488,2784,5.2,2488,2784,5.2,0,0,0.0
29,A&N Islands,15,15,8.0,15,15,8.0,0,0,0.0
30,Chandigarh,42,43,7.7,31,32,5.6,11,11,2.0
31,D&N Haveli and Daman & Diu,6,6,1.6,6,6,1.6,0,0,0.0
32,Delhi,1840,1841,19.4,1840,1841,19.4,0,0,0.0
33,Jammu & Kashmir,1744,1766,27.5,1721,1733,27.1,23,33,0.4
34,Ladakh,4,4,3.1,4,4,3.1,0,0,0.0
35,Lakshadweep,3,3,9.1,3,3,9.1,0,0,0.0
36,Puducherry,25,25,3.1,25,25,3.1,0,0,0.0
