SL,State,Insult_Total_I,Insult_Total_V,Insult_Total_R,Insult_18_I,Insult_18_V,Insult_18_R,Insult_Below18_I,Insult_Below18_V,Insult_Below18_R,Total_Crime_I,Total_Crime_V,Total_Crime_R
1,Andhra Pradesh,2342,2371,8.9,2309,2338,8.8,33,33,0.1,16108,16215,61.3
2,Arunachal Pradesh,3,3,0.4,3,3,0.4,0,0,0.0,255,270,34.5
3,Assam,90,90,0.5,90,90,0.5,0,0,0.0,23974,24579,140.4
4,Bihar,6,6,0.0,6,6,0.0,0,0,0.0,11159,11252,19.1
5,Chhattisgarh,279,279,1.9,272,272,1.9,7,7,0.0,5302,5548,36.4
6,Goa,35,35,4.6,33,33,4.3,2,2,0.3,218,238,28.3
7,Gujarat,17,18,0.1,17,18,0.1,0,0,0.0,5620,5640,17.1
8,Haryana,183,183,1.3,183,183,1.3,0,0,0.0,11127,11156,81.1
9,Himachal Pradesh,88,88,2.4,88,88,2.4,0,0,0.0,1568,1575,43.2
10,Jharkhand,6,6,0.0,6,6,0.0,0,0,0.0,5114,5170,27.5
11,Karnataka,70,71,0.2,70,71,0.2,0,0,0.0,8774,9370,26.8
12,Kerala,442,454,2.4,407,419,2.2,35,35,0.2,8005,8139,43.5
13,Madhya Pradesh,200,200,0.5,189,189,0.5,11,11,0.0,19712,20031,48.6
14,Maharashtra,969,969,1.6,969,969,1.6,0,0,0.0,26169,26454,44.1
15,Manipur,8,8,0.5,8,8,0.5,0,0,0.0,169,169,10.8
16,Meghalaya,16,18,1.0,16,18,1.0,0,0,0.0,239,241,14.7
17,Mizoram,3,3,0.5,3,3,0.5,0,0,0.0,71,71,11.9
18,Nagaland,2,2,0.2,2,2,0.2,0,0,0.0,22,22,2.1
19,Odisha,615,615,2.7,615,615,2.7,0,0,0.0,22427,22478,99.4
20,Punjab,28,29,0.2,28,29,0.2,0,0,0.0,4082,4109,28.5
21,Rajasthan,85,86,0.2,76,77,0.2,9,9,0.0,34207,34426,89.6
22,Sikkim,0,0,0.0,0,0,0.0,0,0,0.0,43,47,13.6
23,Tamil Nadu,31,31,0.1,30,30,0.1,1,1,0.0,2944,3005,7.7
24,Telangana,565,701,3.0,542,678,2.9,23,23,0.1,15662,16184,84.0
25,Tripura,3,3,0.2,2,2,0.1,1,1,0.1,729,734,36.7
26,Uttar Pradesh,28,28,0.0,19,19,0.0,9,9,0.0,39275,39601,35.8
27,Uttarakhand,43,43,0.8,43,43,0.8,0,0,0.0,2114,2116,38.3
28,West Bengal,446,446,0.9,445,445,0.9,1,1,0.0,33739,34170,70.6
29,A&N Islands,3,3,1.6,3,3,1.6,0,0,0.0,26,27,13.8
30,Chandigarh,4,4,0.7,4,4,0.7,0,0,0.0,300,303,54.6
31,D&N Haveli and Daman & Diu,3,3,0.8,3,3,0.8,0,0,0.0,20,20,5.3
32,Delhi,416,418,4.4,416,418,4.4,0,0,0.0,8931,9051,94.1
33,Jammu & Kashmir,35,35,0.6,35,35,0.6,0,0,0.0,3189,3223,50.3
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,9,9,7.0
35,Lakshadweep,1,1,3.0,1,1,3.0,0,0,0.0,7,7,21.2
36,Puducherry,0,0,0.0,0,0,0.0,0,0,0.0,44,44,5.5
