SL,State,POCSO_Total_I,POCSO_Total_V,POCSO_Total_R,Child_Rape_I,Child_Rape_V,Child_Rape_R,Sexual_Assault_I,Sexual_Assault_V,Sexual_Assault_R,Harassment_I,Harassment_V,Harassment_R
1,Andhra Pradesh,466,468,1.8,289,291,1.1,82,82,0.3,79,79,0.3
2,Arunachal Pradesh,21,21,2.8,16,16,2.1,4,4,0.5,0,0,0.0
3,Assam,1925,1948,11.2,1310,1317,7.6,422,424,2.4,144,158,0.8
4,Bihar,1561,1561,2.6,654,654,1.1,738,738,1.2,34,34,0.1
5,Chhattisgarh,2321,2349,15.7,1808,1808,12.3,456,484,3.1,30,30,0.2
6,Goa,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
7,Gujarat,2424,2434,7.3,2060,2069,6.2,239,240,0.7,71,71,0.2
8,Haryana,2150,2166,15.4,1234,1235,8.9,654,666,4.7,227,230,1.6
9,Himachal Pradesh,8,8,0.2,0,0,0.0,8,8,0.2,0,0,0.0
10,Jharkhand,792,792,4.2,569,569,3.0,117,117,0.6,39,39,0.2
11,Karnataka,2796,2817,8.5,2090,2093,6.3,427,443,1.3,249,251,0.8
12,Kerala,2374,2402,12.9,1568,1584,8.5,611,619,3.3,155,157,0.8
13,Madhya Pradesh,6012,6027,14.6,3512,3522,8.5,2381,2386,5.8,82,82,0.2
14,Maharashtra,6116,6219,10.2,3458,3480,5.8,2377,2454,4.0,249,253,0.4
15,Manipur,96,100,6.1,75,79,4.7,16,16,1.0,1,1,0.1
16,Meghalaya,384,389,23.4,290,293,17.6,78,79,4.7,6,6,0.4
17,Mizoram,102,103,16.9,65,65,10.8,34,35,5.6,2,2,0.3
18,Nagaland,31,33,2.9,25,25,2.4,6,8,0.6,0,0,0.0
19,Odisha,2496,2496,11.0,1871,1871,8.2,585,585,2.6,17,17,0.1
20,Punjab,723,725,5.0,599,601,4.2,121,121,0.8,3,3,0.0
21,Rajasthan,580,580,1.5,0,0,0.0,0,0,0.0,27,27,0.1
22,Sikkim,98,102,30.6,75,77,23.4,21,23,6.6,2,2,0.6
23,Tamil Nadu,4415,4503,11.5,3401,3435,8.9,722,744,1.9,221,240,0.6
24,Telangana,2692,2717,14.3,1817,1835,9.7,810,817,4.3,40,40,0.2
25,Tripura,124,126,6.2,91,93,4.5,32,32,1.6,1,1,0.0
26,Uttar Pradesh,6970,7001,6.3,2747,2749,2.5,4063,4090,3.7,64,66,0.1
27,Uttarakhand,689,689,12.4,593,593,10.6,87,87,1.6,7,7,0.1
28,West Bengal,2569,2592,5.3,1575,1585,3.3,725,728,1.5,236,246,0.5
29,A&N Islands,107,109,56.6,90,92,47.6,13,13,6.9,2,2,1.1
30,Chandigarh,1,1,0.2,0,0,0.0,1,1,0.2,0,0,0.0
31,D&N Haveli and Daman & Diu,53,53,13.5,47,47,12.0,3,3,0.8,3,3,0.8
32,Delhi,1374,1377,14.2,841,841,8.7,497,498,5.1,31,33,0.3
33,Jammu & Kashmir,278,279,4.3,209,209,3.3,50,51,0.8,1,1,0.0
34,Ladakh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
35,Lakshadweep,4,4,12.1,2,2,6.1,2,2,6.1,0,0,0.0
36,Puducherry,84,85,10.2,55,56,6.7,19,19,2.3,9,9,1.1
